"year","month","month_number","avg_satisfaction","session_count"
"2024","June     ","6","3.45","208"
"2024","July     ","7","3.37","858"
"2024","August   ","8","3.45","899"
"2024","September","9","3.41","817"
"2024","October  ","10","3.43","802"
"2024","November ","11","3.44","808"
"2024","December ","12","3.42","766"
"2025","January  ","1","3.41","884"
"2025","February ","2","3.46","779"
"2025","March    ","3","3.39","810"
"2025","April    ","4","3.42","837"
"2025","May      ","5","3.39","842"
"2025","June     ","6","3.42","690"
