session_id,student_level,discipline,session_date,session_length_min,total_prompts,task_type,ai_assistance_level,final_outcome,used_again,satisfaction_rating
SESSION00001,Undergraduate,Computer Science,2024/11/03,31,11,Studying,2,Assignment Completed,TRUE,1
SESSION00002,Undergraduate,Psychology,2024/08/25,13,6,Studying,3,Assignment Completed,TRUE,2
SESSION00003,Undergraduate,Business,2025/01/12,19,5,Coding,3,Assignment Completed,TRUE,3.3
SESSION00004,Undergraduate,Computer Science,2025/05/06,4,1,Coding,3,Assignment Completed,TRUE,3.5
SESSION00005,Undergraduate,Psychology,2025/03/18,28,9,Writing,3,Assignment Completed,TRUE,2.9
SESSION00006,Graduate,Business,2025/01/17,8,1,Coding,5,Idea Drafted,TRUE,5
SESSION00007,High School,Biology,2024/09/07,15,3,Writing,3,Assignment Completed,FALSE,1.9
SESSION00008,Undergraduate,Biology,2024/12/26,9,3,Writing,5,Assignment Completed,TRUE,3.9
SESSION00009,Undergraduate,Business,2025/06/18,8,1,Brainstorming,3,Assignment Completed,TRUE,3.3
SESSION00010,Undergraduate,Math,2025/04/14,6,1,Studying,3,Assignment Completed,FALSE,1.4
SESSION00011,High School,Math,2025/02/24,25,6,Writing,2,Assignment Completed,FALSE,1.9
SESSION00012,Undergraduate,Psychology,2024/11/07,12,5,Coding,3,Assignment Completed,FALSE,3.9
SESSION00013,Undergraduate,History,2024/07/05,15,6,Studying,5,Idea Drafted,TRUE,4.9
SESSION00014,Undergraduate,Business,2024/11/03,24,5,Writing,4,Idea Drafted,TRUE,3.7
SESSION00015,High School,Computer Science,2025/05/21,23,8,Writing,3,Assignment Completed,TRUE,4.9
SESSION00016,High School,Psychology,2024/11/22,22,6,Coding,2,Idea Drafted,TRUE,2.8
SESSION00017,Undergraduate,Business,2025/04/27,6,2,Writing,5,Confused,TRUE,5
SESSION00018,High School,Biology,2025/04/13,18,4,Studying,2,Confused,FALSE,1.2
SESSION00019,Undergraduate,Math,2024/12/08,18,4,Studying,5,Assignment Completed,FALSE,4.9
SESSION00020,High School,Engineering,2024/08/03,19,6,Studying,4,Assignment Completed,TRUE,3.5
SESSION00021,Undergraduate,Engineering,2025/05/03,27,11,Brainstorming,3,Idea Drafted,TRUE,4.4
SESSION00022,Undergraduate,Business,2025/01/09,11,2,Homework Help,5,Assignment Completed,FALSE,4.9
SESSION00023,Undergraduate,Biology,2025/04/21,20,8,Studying,2,Idea Drafted,TRUE,3.1
SESSION00024,Undergraduate,Math,2025/05/05,18,4,Coding,3,Gave Up,FALSE,3.6
SESSION00025,Graduate,Psychology,2024/11/27,8,3,Homework Help,5,Idea Drafted,TRUE,4.3
SESSION00026,Undergraduate,Biology,2024/09/14,12,2,Writing,2,Idea Drafted,TRUE,3.2
SESSION00027,Undergraduate,History,2024/08/28,6,2,Homework Help,4,Idea Drafted,TRUE,4
SESSION00028,High School,Math,2024/09/05,28,7,Writing,3,Confused,TRUE,3.5
SESSION00029,Undergraduate,Psychology,2025/02/20,27,6,Studying,2,Confused,FALSE,3.4
SESSION00030,Undergraduate,Engineering,2025/02/26,5,2,Studying,3,Confused,FALSE,2.5
SESSION00031,High School,Biology,2024/12/28,24,6,Studying,3,Gave Up,FALSE,2.4
SESSION00032,Undergraduate,Computer Science,2025/04/20,19,7,Studying,3,Idea Drafted,FALSE,3.3
SESSION00033,High School,Psychology,2025/02/06,23,10,Coding,3,Idea Drafted,TRUE,2.6
SESSION00034,Undergraduate,Business,2025/04/10,11,4,Writing,3,Gave Up,FALSE,3.9
SESSION00035,Undergraduate,Math,2025/03/21,25,7,Coding,4,Confused,TRUE,4.3
SESSION00036,Undergraduate,Biology,2024/07/19,6,1,Writing,1,Confused,TRUE,1.2
SESSION00037,Undergraduate,Engineering,2025/04/09,34,8,Writing,2,Assignment Completed,FALSE,1.6
SESSION00038,Undergraduate,Psychology,2024/09/20,14,5,Writing,2,Assignment Completed,TRUE,2.6
SESSION00039,High School,Biology,2025/05/14,2,1,Studying,2,Idea Drafted,TRUE,2.2
SESSION00040,Graduate,Engineering,2025/03/06,12,3,Coding,4,Assignment Completed,TRUE,4.4
SESSION00041,Undergraduate,Computer Science,2025/06/21,33,15,Writing,2,Idea Drafted,TRUE,1.7
SESSION00042,Undergraduate,Biology,2025/06/13,20,6,Studying,3,Confused,FALSE,3.4
SESSION00043,High School,History,2025/04/23,34,7,Homework Help,4,Assignment Completed,TRUE,5
SESSION00044,Undergraduate,Psychology,2025/01/01,5,1,Writing,5,Confused,FALSE,4.6
SESSION00045,Undergraduate,Biology,2025/01/26,15,3,Writing,4,Assignment Completed,TRUE,4.8
SESSION00046,High School,Math,2025/04/19,28,6,Writing,3,Assignment Completed,TRUE,1.4
SESSION00047,High School,Engineering,2024/12/18,46,12,Homework Help,4,Assignment Completed,TRUE,3.4
SESSION00048,Undergraduate,Biology,2024/11/21,13,4,Research,2,Confused,FALSE,1.4
SESSION00049,Graduate,Engineering,2024/10/27,17,6,Studying,3,Assignment Completed,TRUE,3.7
SESSION00050,Graduate,History,2025/02/28,28,5,Writing,5,Assignment Completed,TRUE,5
SESSION00051,Undergraduate,Psychology,2024/11/14,13,3,Studying,2,Idea Drafted,TRUE,2.3
SESSION00052,Graduate,Business,2024/09/09,23,11,Studying,2,Assignment Completed,TRUE,1
SESSION00053,Undergraduate,Computer Science,2025/06/08,8,1,Research,4,Idea Drafted,TRUE,4.2
SESSION00054,High School,Biology,2024/07/10,16,3,Writing,5,Assignment Completed,TRUE,5
SESSION00055,Undergraduate,Psychology,2024/07/08,7,2,Coding,2,Idea Drafted,TRUE,2.8
SESSION00056,Undergraduate,Engineering,2024/12/16,6,2,Coding,4,Assignment Completed,TRUE,5
SESSION00057,High School,Engineering,2024/09/05,59,19,Homework Help,4,Assignment Completed,TRUE,3.9
SESSION00058,Undergraduate,Biology,2024/06/25,10,4,Coding,3,Assignment Completed,TRUE,4.9
SESSION00059,High School,Business,2025/01/31,32,9,Studying,4,Idea Drafted,TRUE,4.6
SESSION00060,Graduate,Psychology,2024/11/09,2,1,Studying,5,Assignment Completed,FALSE,4.5
SESSION00061,Undergraduate,Computer Science,2024/06/30,18,6,Homework Help,2,Assignment Completed,TRUE,3.1
SESSION00062,Undergraduate,Math,2025/03/09,15,7,Coding,3,Assignment Completed,FALSE,2.5
SESSION00063,Undergraduate,Computer Science,2025/06/21,11,2,Coding,2,Assignment Completed,TRUE,1.7
